Name,MFG,Type,DOF,Payload_kg,Reach_m,Weight_kg,Repeatability_mm,Cost_KUSD,Notes
MPK2F-5,Yaskawa-Motoman,industrial,5,5,0.9,72,0.5,,
MPK50,Yaskawa-Motoman,industrial,4,50,1.893,670,0.5,,
SDA5F,Yaskawa-Motoman,industrial,7,5,0.845,36.66666667,0.06,,
GP25,Yaskawa-Motoman,industrial,6,25,1.73,250,0.06,,
GP12,Yaskawa-Motoman,industrial,6,12,1.44,130,0.08,,
GP7,Yaskawa-Motoman,industrial,6,7,0.927,34,0.03,,
GP8,Yaskawa-Motoman,industrial,6,8,0.727,32,0.02,,
MotoMini,Yaskawa-Motoman,industrial,6,0.5,0.35,7,0.02,,
PUMA 560,Puma,research,6,2.5,0.864,55,0.1,,
WAM 4,Barrett,research,4,4,1,25,0.1,90,"listed with ""high precision"" package"
WAM 7,Barrett,research,7,3,1,27,0.2,120,"listed with ""high precision"" package"
SARA,DLR,research,7,12,1.024,22.6,,,
LWR III,DLR,research,7,14,0.936,14,,,ca 2003
LWR II,DLR,research,7,7,1.024,18,,,ca 2000
LWR I,DLR,research,7,7,1.338,14.5,,,ca 1995
KIT Arm,Kit.edu,research,8,11,1.077,25,,,
MER,NASA,research,5,5,0.5,10,,,
MSL,NASA,research,5,15,2.1,50,,,
MGS,NASA,research,4,1,2,5,0.5,,
LWA 4P,Schunk,research,6,6,0.61,15,0.15,,
LWA 4P-2,Schunk,research,6,6,0.61,12.5,0.06,,
LWA 4D,Schunk,research,7,10,1.1134,18,0.15,72,estimate is power cube derived (2 large 2 medium 1 small 1 ball wrist)
PR2,Willow Garage,research,7,1.8,0.881,,,115,cost is delta between full robot and 1 arm version - full robot mass is 220kg
VP-5243,Denso,industrial,5,3,0.5,13,0.02,,
VP-6242,Denso,industrial,6,3,0.502,15,0.02,,
VS-050,Denso,industrial,5,4,0.505,34,0.02,,
VS-060,Denso,industrial,6,4,0.605,35,0.02,,
VS-068,Denso,industrial,6,7,0.71,49,0.02,,
VS-087,Denso,industrial,6,7,0.905,51,0.03,,
VS-6556,Denso,industrial,6,7,0.733,35,0.02,,
VS-6577,Denso,industrial,6,7,0.934,36,0.03,,
VM-6083,Denso,industrial,6,13,1.021,82,0.05,,
VM-60B1,Denso,industrial,6,13,1.298,88,0.07,,
VS-050S2,Denso,industrial,6,4,0.52,34,0.02,,
TV800,TM Robotics,industrial,6,5,0.8,45,0.02,,
TV1000,TM Robotics,industrial,6,5,1,48,0.03,,
TV1000H,TM Robotics,industrial,6,10,1,47,0.04,,
duAro2,Kawasaki,industrial,4,3,0.785,50,0.05,16.5,listed price and mass was for dual arm system so both were divided in half
Dorna Arm,Dorna Robotics,hobby,5,1.1,0.4971,5.4,0.025,1.5,dorna.ai
ReBel,igus,industrial,6,2,0.665,8,1,5.500,igus website had price (with controller) in euro but was removed
ReBel,igus,industrial,4,3,0.495,7,1,4.500,igus website had price for 6dof but this 4dof is estimate
Rizon 4,Flexiv,collaborative,7,4,0.955,20,0.05,,
Rizon 4s,Flexiv,collaborative,7,3.5,0.99,21,0.05,,
Rizon 10,Flexiv,collaborative,7,10,0.991,38,0.05,37.996,ebay listing
CR3,DOBOT,collaborative,6,3,0.795,16.5,0.02,19.990,trossen robotics webpage
CR5,DOBOT,collaborative,6,5,1.096,23,0.02,22.990,trossen robotics webpage
CR10,DOBOT,collaborative,6,10,1.525,38,0.02,31.990,trossen robotics webpage
CR16,DOBOT,collaborative,6,16,1.223,37,0.02,34.990,trossen robotics webpage
MG400,DOBOT,hobby,4,0.5,0.44,8,0.05,2.699,trossen robotics webpage
ViperX 300 6DOF,Interbotix,hobby,6,0.75,0.75,4.1,1,5.19595,trossen robotics webpage
ViperX 300,Interbotix,hobby,5,0.75,0.75,3.6,1,4.69595,trossen robotics webpage
ViperX 250,Interbotix,hobby,5,0.45,0.65,3.6,1,3.09595,trossen robotics webpage (typo on price)
ViperX 250 6DOF,Interbotix,hobby,6,0.25,0.65,3.6,1,3.99595,trossen robotics webpage (typo on price)
WidowX 250 6DOF,Interbotix,hobby,6,0.25,0.65,4.1,1,3.09595,trossen robotics webpage
WidowX 250 Mobile 6DOF,Interbotix,hobby,6,0.25,0.65,3.6,1,2.99595,trossen robotics webpage
WidowX 250,Interbotix,hobby,5,0.25,0.65,2.6,1,2.69595,trossen robotics webpage
WidowX 200,Interbotix,hobby,5,0.2,0.55,2.5,2.5,2.39595,trossen robotics webpage
ReactorX 200,Interbotix,hobby,5,0.15,0.55,1.9,2.5,1.79595,trossen robotics webpage
ReactorX 150,Interbotix,hobby,5,0.1,0.45,1.8,2.5,1.39595,trossen robotics webpage
PincherX 150,Interbotix,hobby,5,0.05,0.45,1.8,5,0.94995,trossen robotics webpage
PincherX 100,Interbotix,hobby,4,0.05,0.3,0.8,5,0.54995,trossen robotics webpage
MAiRA Pro S,Neurobotics,collaborative,7,18,1.05,53.0,0.01,,
MAiRA Pro M,Neurobotics,collaborative,7,15,1.4,51.5,0.01,,
MAiRA Pro L,Neurobotics,collaborative,7,12,1.6,56.0,0.01,,
MAiRA Jr,Neurobotics,collaborative,7,8,0.9,32.0,0.02,,
LARA 3,Neurobotics,industrial,6,3,0.59,17,0.02,,
LARA 5,Neurobotics,industrial,6,5,0.8,23,0.02,,
LARA 8,Neurobotics,industrial,6,8,1.3,47,0.02,,
LARA 10,Neurobotics,industrial,6,10,1.0,40,0.02,,
LARA 15,Neurobotics,industrial,6,15,1.3,55,0.02,,
Z1 Air,Unitree,collaborative,6,2,0.74,4.1,0.1,12.999,
Z1 Pro,Unitree,collaborative,6,3,0.74,4.3,0.1,,
Crane X7,RT,collaborative,7,0.5,0.630,1.8,,7.5,
ZA6,Tormach,industrial,6,6,0.975,65,0.5,5.0,
RO1,Standard Bots,collaborative,6,18,1.3,32.5,0.025,,
SCR3,Siasun,collaborative,7,3,0.6,18.6,0.02,20,alibaba listing
SCR5,Siasun,collaborative,7,5,0.8,33.8,0.02,30,alibaba listing
TCRp5,Siasun,collaborative,6,0.5,0.3,5,0.05,,
TCR1,Siasun,collaborative,6,1,0.5,6.8,0.05,,
Astorino,Kawasaki,hobby,6,1,0.578,12,0.2,8.2,botland.store webpage
Piper,Agile X,collaborative,6,1.5,0.62675,4.2,0.1,2.5,
DynaArm,Duatic,collaborative,6,8,1.1,8,1,,
